frame,person_id,x,y,w,h
0,1,581,35,117,117
0,2,123,101,118,118
1,1,582,34,118,118
1,2,122,101,119,119
2,1,582,31,123,123
2,2,124,101,118,118
3,1,582,30,123,123
3,2,122,99,122,122
4,1,581,29,123,123
4,2,127,103,115,115
5,1,581,29,122,122
5,2,129,105,113,113
6,1,579,29,123,123
6,2,128,104,118,118
7,1,578,33,120,120
7,2,129,104,117,117
8,1,573,32,122,122
8,2,130,105,115,115
9,1,574,35,117,117
9,2,135,107,110,110
10,1,574,39,111,111
10,2,131,105,117,117
11,1,573,40,111,111
11,2,132,105,114,114
12,1,570,37,119,119
12,2,134,107,111,111
13,1,571,38,115,115
13,2,131,105,115,115
14,1,568,35,122,122
14,2,132,105,114,114
15,1,570,38,117,117
15,2,130,104,119,119
16,1,571,37,118,118
16,2,130,105,118,118
17,1,571,39,114,114
17,2,131,105,117,117
18,1,565,41,115,115
18,2,131,106,117,117
19,1,565,41,115,115
19,2,131,106,118,118
20,1,565,41,115,115
20,2,131,105,118,118
21,1,565,41,115,115
21,2,131,106,118,118
22,1,568,41,122,122
22,2,131,106,118,118
23,1,578,46,111,111
23,2,131,107,118,118
24,1,581,40,120,120
24,2,132,110,115,115
25,1,590,41,120,120
25,2,126,111,123,123
26,1,591,39,126,126
26,2,125,112,123,123
27,1,591,41,123,123
27,2,122,111,124,124
28,1,592,41,124,124
28,2,123,109,123,123
29,1,592,41,124,124
29,2,119,105,130,130
30,1,595,44,122,122
30,2,120,106,124,124
31,1,596,46,119,119
31,2,120,106,126,126
32,1,595,44,123,123
32,2,121,107,123,123
33,1,595,44,124,124
33,2,121,107,124,124
34,1,599,46,118,118
34,2,121,106,126,126
35,1,598,44,122,122
35,2,120,104,126,126
36,1,598,44,122,122
36,2,121,105,124,124
37,1,597,43,124,124
37,2,124,108,120,120
38,1,595,43,127,127
38,2,125,109,118,118
39,1,598,46,122,122
39,2,124,107,120,120
40,1,598,45,122,122
40,2,121,104,124,124
41,1,597,45,122,122
41,2,126,107,115,115
42,1,596,45,124,124
42,2,121,103,124,124
43,1,599,46,119,119
43,2,121,103,124,124
44,1,599,45,120,120
44,2,121,103,126,126
45,1,599,45,120,120
45,2,121,103,124,124
46,1,596,42,123,123
46,2,120,103,126,126
47,1,597,41,122,122
47,2,121,103,124,124
48,1,596,39,126,126
48,2,120,103,126,126
49,1,596,37,127,127
49,2,120,103,126,126
50,1,596,36,124,124
50,2,120,103,127,127
51,1,597,34,124,124
51,2,122,104,124,124
52,1,599,36,119,119
52,2,123,105,123,123
53,1,596,33,122,122
53,2,128,109,115,115
54,1,595,32,124,124
54,2,126,108,119,119
55,1,598,33,120,120
55,2,127,109,117,117
56,1,596,34,119,119
56,2,126,108,119,119
57,1,596,33,119,119
57,2,127,108,118,118
58,1,594,32,122,122
58,2,128,109,118,118
59,1,594,32,122,122
59,2,128,108,118,118
60,1,596,33,119,119
60,2,127,108,120,120
61,1,596,33,120,120
61,2,128,109,118,118
62,1,597,33,119,119
62,2,128,109,119,119
63,1,596,33,119,119
63,2,130,108,118,118
64,1,597,33,118,118
64,2,130,108,119,119
65,1,597,32,119,119
65,2,130,109,118,118
66,1,596,34,120,120
66,2,129,106,122,122
67,1,596,33,120,120
67,2,130,107,120,120
68,1,596,34,119,119
68,2,130,107,120,120
69,1,594,32,122,122
69,2,133,109,117,117
70,1,594,32,122,122
70,2,128,106,123,123
71,1,595,33,119,119
71,2,127,106,124,124
72,1,592,31,124,124
72,2,127,106,126,126
73,1,594,33,120,120
73,2,128,107,123,123
74,1,594,35,119,119
74,2,129,107,122,122
75,1,593,35,119,119
75,2,131,109,119,119
76,1,593,36,120,120
76,2,132,110,119,119
77,1,593,37,120,120
