,frame,person_id,x,y,w,h,age,gender
0,0,1,581,35,117,117,39.0,Male
1,0,2,123,101,118,118,53.0,Male
2,1,1,582,34,118,118,37.0,Male
3,1,2,122,101,119,119,48.0,Male
4,2,1,582,31,123,123,37.0,Male
5,2,2,124,101,118,118,48.0,Male
6,3,1,582,30,123,123,37.0,Male
7,3,2,122,99,122,122,48.0,Male
8,4,1,581,29,123,123,37.0,Male
9,4,2,127,103,115,115,37.0,Male
10,5,1,581,29,122,122,37.0,Male
11,5,2,129,105,113,113,18.0,Male
12,6,1,579,29,123,123,37.0,Male
13,6,2,128,104,118,118,37.0,Male
14,7,1,578,33,120,120,18.0,Male
15,7,2,129,104,117,117,37.0,Male
16,8,1,573,32,122,122,37.0,Male
17,8,2,130,105,115,115,37.0,Male
18,9,1,574,35,117,117,37.0,Male
19,9,2,135,107,110,110,37.0,Male
20,10,1,574,39,111,111,18.0,Male
21,10,2,131,105,117,117,44.0,Male
22,11,1,573,40,111,111,18.0,Male
23,11,2,132,105,114,114,44.0,Male
24,12,1,570,37,119,119,48.0,Male
25,12,2,134,107,111,111,37.0,Male
26,13,1,571,38,115,115,37.0,Male
27,13,2,131,105,115,115,44.0,Male
28,14,1,568,35,122,122,39.0,Male
29,14,2,132,105,114,114,53.0,Male
30,15,1,570,38,117,117,37.0,Male
31,15,2,130,104,119,119,44.0,Male
32,16,1,571,37,118,118,37.0,Male
33,16,2,130,105,118,118,44.0,Male
34,17,1,571,39,114,114,46.0,Male
35,17,2,131,105,117,117,37.0,Male
36,18,1,565,41,115,115,37.0,Female
37,18,2,131,106,117,117,44.0,Male
38,19,1,565,41,115,115,37.0,Female
39,19,2,131,106,118,118,51.0,Male
40,20,1,565,41,115,115,29.0,Female
41,20,2,131,105,118,118,44.0,Male
42,21,1,565,41,115,115,46.0,Female
43,21,2,131,106,118,118,52.0,Male
44,22,1,568,41,122,122,48.0,Male
45,22,2,131,106,118,118,48.0,Male
46,23,1,578,46,111,111,46.0,Female
47,23,2,131,107,118,118,44.0,Male
48,24,1,581,40,120,120,37.0,Male
49,24,2,132,110,115,115,44.0,Male
50,25,1,590,41,120,120,53.0,Male
51,25,2,126,111,123,123,39.0,Male
52,26,1,591,39,126,126,44.0,Male
